"nama_tabel","nama_kolom","tipe_data","tipe_prisma","kelompok"
"penduduk","asuransi_kes","character varying","string","kesehatan_kerja_jamsos"
"penduduk","bencana_kesfungsional","text","string","kesehatan_kerja_jamsos"
"penduduk","bencana_lap_usaha","text","string","kesehatan_kerja_jamsos"
"penduduk","bencana_lapusaha_nama","text","string","kesehatan_kerja_jamsos"
"penduduk","bencana_lapusaha_alamat","text","string","kesehatan_kerja_jamsos"
"penduduk","bencana_lapusaha_izin","character varying","string","kesehatan_kerja_jamsos"
"penduduk","bencana_lapusaha_omzet","numeric","float","kesehatan_kerja_jamsos"
"penduduk","bencana_lapusaha_tk","integer","int","kesehatan_kerja_jamsos"
"penduduk","bencana_kerja_pasca","text","string","kesehatan_kerja_jamsos"
"penduduk","bencana_kerjapasca_lokasi","text","string","kesehatan_kerja_jamsos"
"penduduk","bencana_kerjapasca_penghasilan","numeric","float","kesehatan_kerja_jamsos"
"penduduk","bencana_kerjapasca_harapan","text","string","kesehatan_kerja_jamsos"
"penduduk","bencana_pemulihan_pasca","text","string","kesehatan_kerja_jamsos"
"penduduk","bencana_rumah_kondisi","text","string","kesehatan_kerja_jamsos"
"penduduk","bencana_rumah_bagianrusak","text","string","kesehatan_kerja_jamsos"
"penduduk","bencana_ketenum_bangunan","text","string","kesehatan_kerja_jamsos"
"penduduk","baju_frek","character varying","string","sandang_pangan_papan"
"penduduk","rp_sph","numeric","float","sandang_pangan_papan"
"penduduk","makan_frek","character varying","string","sandang_pangan_papan"
"penduduk","makan_menu","character varying","string","sandang_pangan_papan"
"penduduk","tempat_belanja","character varying","string","sandang_pangan_papan"
"penduduk","rp_belanja","numeric","float","sandang_pangan_papan"
"penduduk","rp_pangan","numeric","float","sandang_pangan_papan"
"penduduk","rp_non_pangan","numeric","float","sandang_pangan_papan"
"penduduk","kon_beras","numeric","float","sandang_pangan_papan"
"penduduk","kon_biskuit","numeric","float","sandang_pangan_papan"
"penduduk","kon_jagung","numeric","float","sandang_pangan_papan"
"penduduk","kon_kentang","numeric","float","sandang_pangan_papan"
